time_period_start,time_period_end,time_open,time_close,rate_open,rate_high,rate_low,rate_close
2021-04-01T00:00:00.0000000Z,2021-04-02T00:00:00.0000000Z,2021-04-01T00:01:00.0000000Z,2021-04-01T23:59:00.0000000Z,58829.86840858937,59441.9365285429,57937.37331154038,58733.07451584169
2021-04-02T00:00:00.0000000Z,2021-04-03T00:00:00.0000000Z,2021-04-02T00:01:00.0000000Z,2021-04-02T23:59:00.0000000Z,58771.91658780776,60049.29998530935,58502.02354947204,59014.1540950206
2021-04-03T00:00:00.0000000Z,2021-04-04T00:00:00.0000000Z,2021-04-03T00:01:00.0000000Z,2021-04-03T23:59:00.0000000Z,59025.83736761301,59760.849627928,57007.80145349158,57054.313105143905
2021-04-04T00:00:00.0000000Z,2021-04-05T00:00:00.0000000Z,2021-04-04T00:01:00.0000000Z,2021-04-04T23:59:00.0000000Z,56741.546808608415,58473.56904072889,56503.2136507862,58210.63859808576
2021-04-05T00:00:00.0000000Z,2021-04-06T00:00:00.0000000Z,2021-04-05T00:19:00.0000000Z,2021-04-05T23:59:00.0000000Z,57987.16435353695,59218.55843710722,56875.46494696109,58990.64449454504
2021-04-06T00:00:00.0000000Z,2021-04-07T00:00:00.0000000Z,2021-04-06T00:01:00.0000000Z,2021-04-06T23:59:00.0000000Z,59207.987191317116,59449.58406038945,57387.62374637104,58016.70959404319
2021-04-07T00:00:00.0000000Z,2021-04-08T00:00:00.0000000Z,2021-04-07T00:01:00.0000000Z,2021-04-07T23:59:00.0000000Z,58020.05700497996,58618.907339830046,55466.9279094413,55873.320164771736
2021-04-08T00:00:00.0000000Z,2021-04-09T00:00:00.0000000Z,2021-04-08T00:01:00.0000000Z,2021-04-08T23:59:00.0000000Z,55956.23534499129,58137.315852880056,55731.31613134632,58072.00883521468
2021-04-09T00:00:00.0000000Z,2021-04-10T00:00:00.0000000Z,2021-04-09T00:01:00.0000000Z,2021-04-09T23:59:00.0000000Z,58107.27067460898,58874.69745452152,57689.402763687765,58092.112681656705
2021-04-10T00:00:00.0000000Z,2021-04-11T00:00:00.0000000Z,2021-04-10T00:01:00.0000000Z,2021-04-10T02:16:00.0000000Z,58118.56559022483,58508.05133524636,57872.641925967524,58323.71413679554
2021-04-11T00:00:00.0000000Z,2021-04-12T00:00:00.0000000Z,2021-04-11T19:54:00.0000000Z,2021-04-11T23:59:00.0000000Z,59542.84919309961,60060.90843979255,0.3791533442704555,59947.39646443558
