time_period_start,time_period_end,time_open,time_close,rate_open,rate_high,rate_low,rate_close

2020-05-01T00:00:00.0000000Z,2020-05-02T00:00:00.0000000Z,2020-05-01T00:01:00.0000000Z,2020-05-01T23:59:00.0000000Z,0.002429836830503421,0.0025689683781761675,0.002424819712694729,0.0024735467469413036

2020-05-02T00:00:00.0000000Z,2020-05-03T00:00:00.0000000Z,2020-05-02T00:01:00.0000000Z,2020-05-02T23:59:00.0000000Z,0.002469836318621713,0.00258742829914615,0.002382691283104871,0.0025353983723218664

2020-05-03T00:00:00.0000000Z,2020-05-04T00:00:00.0000000Z,2020-05-03T00:01:00.0000000Z,2020-05-03T23:59:00.0000000Z,0.002541345966160489,0.0026461141113896343,0.0024626906136636134,0.002500670058627881

2020-05-04T00:00:00.0000000Z,2020-05-05T00:00:00.0000000Z,2020-05-04T00:01:00.0000000Z,2020-05-04T23:59:00.0000000Z,0.0025052374132717875,0.0025760174953401846,0.002342254275619564,0.002430979113348978

2020-05-05T00:00:00.0000000Z,2020-05-06T00:00:00.0000000Z,2020-05-05T00:01:00.0000000Z,2020-05-05T23:59:00.0000000Z,0.002465044582956847,1.4556546604832734,0.0023916244035931383,0.27350405417036355

2020-05-06T00:00:00.0000000Z,2020-05-07T00:00:00.0000000Z,2020-05-06T00:01:00.0000000Z,2020-05-06T23:59:00.0000000Z,0.0024878743356258237,0.0025981233164506694,0.0024299822138477865,0.002477238225356257

2020-05-07T00:00:00.0000000Z,2020-05-08T00:00:00.0000000Z,2020-05-07T00:01:00.0000000Z,2020-05-07T23:59:00.0000000Z,0.0025045976624500873,0.0027172074800793315,0.0024576685939064866,0.0026458638922190175

2020-05-08T00:00:00.0000000Z,2020-05-09T00:00:00.0000000Z,2020-05-08T00:01:00.0000000Z,2020-05-08T23:59:00.0000000Z,0.002642741284325343,0.0027251,0.002546063132283509,0.002632190171139783

2020-05-09T00:00:00.0000000Z,2020-05-10T00:00:00.0000000Z,2020-05-09T00:01:00.0000000Z,2020-05-09T23:59:00.0000000Z,0.0026240302191324794,0.0026693044792754704,0.002511591136927418,0.0026127245726235973

2020-05-10T00:00:00.0000000Z,2020-05-11T00:00:00.0000000Z,2020-05-10T00:01:00.0000000Z,2020-05-10T23:59:00.0000000Z,0.002673472463968867,0.002673472463968867,0.002282862331816386,0.002455638740961733

2020-05-11T00:00:00.0000000Z,2020-05-12T00:00:00.0000000Z,2020-05-11T00:01:00.0000000Z,2020-05-11T23:59:00.0000000Z,0.0024450578841266773,0.002540486958730396,0.002292294769231034,0.002413970142050609

2020-05-12T00:00:00.0000000Z,2020-05-13T00:00:00.0000000Z,2020-05-12T00:01:00.0000000Z,2020-05-12T23:59:00.0000000Z,0.0024105538822982737,0.002583867595850926,0.002383848892586264,0.0024658122549629374

2020-05-13T00:00:00.0000000Z,2020-05-14T00:00:00.0000000Z,2020-05-13T00:01:00.0000000Z,2020-05-13T23:59:00.0000000Z,0.0024649130731232588,0.0026028601841820392,0.0024056199144851242,0.0025160500920076703

2020-05-14T00:00:00.0000000Z,2020-05-15T00:00:00.0000000Z,2020-05-14T00:01:00.0000000Z,2020-05-14T23:59:00.0000000Z,0.002613386438829455,0.002665658194519062,0.0025077065203816793,0.0025583615793216934

2020-05-15T00:00:00.0000000Z,2020-05-16T00:00:00.0000000Z,2020-05-15T00:01:00.0000000Z,2020-05-15T23:59:00.0000000Z,0.002582874952532698,0.0026363977299281105,0.002445694671396505,0.0024911769980445167

2020-05-16T00:00:00.0000000Z,2020-05-17T00:00:00.0000000Z,2020-05-16T00:01:00.0000000Z,2020-05-16T23:59:00.0000000Z,0.0024919284200632403,0.0025520585776534583,0.0024414566263073396,0.002518769342660466

2020-05-17T00:00:00.0000000Z,2020-05-18T00:00:00.0000000Z,2020-05-17T00:01:00.0000000Z,2020-05-17T23:59:00.0000000Z,0.002502920195115245,0.002629621446697362,0.002465013100928329,0.002528113098309697

2020-05-18T00:00:00.0000000Z,2020-05-19T00:00:00.0000000Z,2020-05-18T00:01:00.0000000Z,2020-05-18T23:59:00.0000000Z,0.0025281125326258812,0.002670942644922709,0.0025011406957435437,0.0026133726473389855

2020-05-19T00:00:00.0000000Z,2020-05-20T00:00:00.0000000Z,2020-05-19T00:01:00.0000000Z,2020-05-19T23:59:00.0000000Z,0.0026285014177978693,0.002645206182700543,0.0024778875057500397,0.002545487649056136

2020-05-20T00:00:00.0000000Z,2020-05-21T00:00:00.0000000Z,2020-05-20T00:01:00.0000000Z,2020-05-20T23:59:00.0000000Z,0.002542804972277417,0.0026405854852928545,0.002453182997525058,0.002521987662316151

2020-05-21T00:00:00.0000000Z,2020-05-22T00:00:00.0000000Z,2020-05-21T00:01:00.0000000Z,2020-05-21T23:59:00.0000000Z,0.0025007997866978607,0.002573276179007791,0.002395727510593301,0.0025064650036796393

2020-05-22T00:00:00.0000000Z,2020-05-23T00:00:00.0000000Z,2020-05-22T00:01:00.0000000Z,2020-05-22T23:59:00.0000000Z,0.0025303870415408344,0.002578385355085086,0.0024258472641297325,0.0024964656348111344

2020-05-23T00:00:00.0000000Z,2020-05-24T00:00:00.0000000Z,2020-05-23T00:01:00.0000000Z,2020-05-23T23:59:00.0000000Z,0.002568654628254684,0.002606027290131424,0.00246665305681801,0.002502282685172004

2020-05-24T00:00:00.0000000Z,2020-05-25T00:00:00.0000000Z,2020-05-24T00:01:00.0000000Z,2020-05-24T23:59:00.0000000Z,0.0025665568547194547,0.0025994830608184003,0.0024117936758778344,0.0024479820785458816

2020-05-25T00:00:00.0000000Z,2020-05-26T00:00:00.0000000Z,2020-05-25T00:01:00.0000000Z,2020-05-25T23:59:00.0000000Z,0.0024431,0.0025759344592441147,0.0024211110333882376,0.002550026618403034

2020-05-26T00:00:00.0000000Z,2020-05-27T00:00:00.0000000Z,2020-05-26T00:01:00.0000000Z,2020-05-26T23:59:00.0000000Z,0.0025370883245150492,0.002601524964361524,0.002456096310622658,0.0025183518266812064

2020-05-27T00:00:00.0000000Z,2020-05-28T00:00:00.0000000Z,2020-05-27T00:01:00.0000000Z,2020-05-27T23:59:00.0000000Z,0.002477129643233513,0.0025713723595425144,0.002381366127854897,0.002496170194226286

2020-05-28T00:00:00.0000000Z,2020-05-29T00:00:00.0000000Z,2020-05-28T00:01:00.0000000Z,2020-05-28T23:59:00.0000000Z,0.002500087135145741,0.0025893647556045735,0.002460255046196493,0.0025545692583124166

