id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1452334458066149377,1452313323261861891,2021-10-24 13:01:32 Central Daylight Time,2021-10-24,13:01:32,-0600,44196397,elonmusk,Elon Musk,,"@Filasophical @ShibaInuHodler Out of curiosity, I acquired some ascii hash strings called “Bitcoin, Ethereum &amp; Doge”. That’s it.   As I’ve said before, don’t bet the farm on crypto! True value is building products &amp; providing services to your fellow human beings, not money in any form.",en,[],[],[],5605,6409,36957,[],[],https://twitter.com/elonmusk/status/1452334458066149377,False,,0,,,,,,,,"[{'screen_name': 'Filasophical', 'name': 'Salif Cybertruck or Bust ⚡️🔋🚀', 'id': '964889226'}, {'screen_name': 'ShibaInuHodler', 'name': 'Gem Hunter!!💎', 'id': '1411587179986489346'}]",,,,
1452332044743323654,1451929526284562436,2021-10-24 12:51:57 Central Daylight Time,2021-10-24,12:51:57,-0600,44196397,elonmusk,Elon Musk,,"@itsALLrisky @TeslaGong @mishaboar @DogecoinFdn Possibly. Bitcoin was conceived at a time of relatively low bandwidth &amp; high latency. If both continue to improve substantially, we will reach a point when no second layer is needed.",en,[],[],[],765,788,5496,[],[],https://twitter.com/elonmusk/status/1452332044743323654,False,,0,,,,,,,,"[{'screen_name': 'itsALLrisky', 'name': '💸💸💸', 'id': '1061349266545885185'}, {'screen_name': 'TeslaGong', 'name': 'Tesla in the Gong 🇦🇺🦘🤖🚕', 'id': '1008296232261783552'}, {'screen_name': 'mishaboar', 'name': 'Mishaboar', 'id': '1385271926852104193'}, {'screen_name': 'DogecoinFdn', 'name': 'Dogecoin Foundation', 'id': '2586748687'}]",,,,
1420529868404518913,1420267443436462082,2021-07-28 18:41:27 Central Daylight Time,2021-07-28,18:41:27,-0600,44196397,elonmusk,Elon Musk,,"@heydave7 We don’t have that many Bitcoin, but it’s close",en,[],[],[],3391,1358,25981,[],[],https://twitter.com/elonmusk/status/1420529868404518913,False,,0,,,,,,,,"[{'screen_name': 'heydave7', 'name': 'Dave Lee', 'id': '29893444'}]",,,,
1408246534093918210,1408246196603346947,2021-06-24 21:11:52 Central Daylight Time,2021-06-24,21:11:52,-0600,44196397,elonmusk,Elon Musk,,“That’s not funny!” – Bitcoin maxis,en,[],[],[],3532,2985,60292,[],[],https://twitter.com/elonmusk/status/1408246534093918210,False,,0,,,,,,,,[],,,,
1408246196603346947,1408246196603346947,2021-06-24 21:10:31 Central Daylight Time,2021-06-24,21:10:31,-0600,44196397,elonmusk,Elon Musk,,How many Bitcoin maxis does it take to screw in a lightbulb?,en,[],[],[],17581,7967,100196,[],[],https://twitter.com/elonmusk/status/1408246196603346947,False,,0,,,,,,,,[],,,,
1408244494567456769,1408102135040970759,2021-06-24 21:03:46 Central Daylight Time,2021-06-24,21:03:46,-0600,44196397,elonmusk,Elon Musk,,@jack Oh right … Bitcoin haha,en,[],[],[],864,763,7843,[],[],https://twitter.com/elonmusk/status/1408244494567456769,False,,0,,,,,,,,"[{'screen_name': 'jack', 'name': 'jack⚡️', 'id': '12'}]",,,,
1404132183254523905,1404045922674302982,2021-06-13 12:42:54 Central Daylight Time,2021-06-13,12:42:54,-0600,44196397,elonmusk,Elon Musk,,"@Cointelegraph This is inaccurate. Tesla only sold ~10% of holdings to confirm BTC could be liquidated easily without moving market.  When there’s confirmation of reasonable (~50%) clean energy usage by miners with positive future trend, Tesla will resume allowing Bitcoin transactions.",en,[],[],[],9918,10652,54039,[],[],https://twitter.com/elonmusk/status/1404132183254523905,False,,0,,,,,,,,"[{'screen_name': 'Cointelegraph', 'name': 'Cointelegraph', 'id': '2207129125'}]",,,,
1401091921746006017,1400560049358094340,2021-06-05 03:21:59 Central Daylight Time,2021-06-05,03:21:59,-0600,44196397,elonmusk,Elon Musk,,@lexfridman @VitalikButerin @ethereum @Bitcoin @dogecoin @ShibainuCoin @IOHK_Charles @Cardano @chainlink @0xPolygon I pretty much agree with Vitalik,en,[],[],[],2014,3241,24387,[],[],https://twitter.com/elonmusk/status/1401091921746006017,False,,0,,,,,,,,"[{'screen_name': 'lexfridman', 'name': 'Lex Fridman', 'id': '427089628'}, {'screen_name': 'VitalikButerin', 'name': 'vitalik.eth', 'id': '295218901'}, {'screen_name': 'ethereum', 'name': 'Ethereum', 'id': '2312333412'}, {'screen_name': 'Bitcoin', 'name': 'Bitcoin', 'id': '357312062'}, {'screen_name': 'dogecoin', 'name': 'Dogecoin', 'id': '2235729541'}, {'screen_name': 'ShibainuCoin', 'name': 'Shiba Inu', 'id': '1355918864509509637'}, {'screen_name': 'IOHK_Charles', 'name': 'Charles Hoskinson', 'id': '1376161898'}, {'screen_name': 'Cardano', 'name': 'Cardano Community', 'id': '825920479055671296'}, {'screen_name': 'chainlink', 'name': 'Chainlink - Official Channel', 'id': '1530530365'}, {'screen_name': '0xPolygon', 'name': ""Polygon | $MATIC - We're hiring!"", 'id': '914738730740715521'}]",,,,
1400620080090730501,1400620080090730501,2021-06-03 20:07:04 Central Daylight Time,2021-06-03,20:07:04,-0600,44196397,elonmusk,Elon Musk,,#Bitcoin 💔  https://t.co/lNnEfMdtJf,und,[],[],['https://pbs.twimg.com/media/E3AAif9WEAAcGuD.jpg'],57079,21796,214172,['bitcoin'],[],https://twitter.com/elonmusk/status/1400620080090730501,False,,1,https://pbs.twimg.com/media/E3AAif9WEAAcGuD.jpg,,,,,,,[],,,,
1396914548167233537,1396914548167233537,2021-05-24 14:42:36 Central Daylight Time,2021-05-24,14:42:36,-0600,44196397,elonmusk,Elon Musk,,Spoke with North American Bitcoin miners. They committed to publish current &amp; planned renewable usage &amp; to ask miners WW to do so. Potentially promising.,en,[],[],[],26527,37583,324900,[],[],https://twitter.com/elonmusk/status/1396914548167233537,False,,0,,,,,,,,[],,,,
